epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,61.6829,2.37036,6.10061,1.76023,0,0,0,0,2.14607,6.0512,1.73429,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,113.102,1.74559,5.32706,1.42639,0,0,0,0,1.54068,5.11879,1.36476,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
3,164.864,1.53232,4.9731,1.18331,0.0004,0.11864,0.00024,0.00014,1.2383,4.53449,1.07845,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408
4,216.943,1.24063,4.27405,1.04742,0.00209,0.62712,0.0023,0.00127,1.04508,4.27128,0.94663,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842
5,268.219,1.21898,3.69506,1.01791,0.00299,0.89831,0.00558,0.00278,0.92754,3.96179,0.8897,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304
6,317.661,1.14819,2.60755,1.007,1,0.5687,0.75761,0.55177,0.96449,3.42926,0.93536,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506
7,371.46,1.14347,2.00156,1.00105,1,0.16379,0.96488,0.69344,0.95817,3.13877,0.93752,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269
8,429.041,1.10521,1.72942,0.96375,1,0.13657,0.95491,0.71645,0.89106,3.13398,0.91372,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319
9,477.743,1.05232,1.7264,0.94896,1,0.34688,0.96557,0.71225,0.91892,2.95707,0.91241,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656
10,529.246,1.07223,1.67265,0.94383,1,0.71999,0.98469,0.74377,0.89698,2.71565,0.90459,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628
11,578.427,1.04005,1.53912,0.94579,1,0.94216,0.99437,0.74822,0.839,2.46163,0.90327,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192
12,628.162,1.05517,1.5252,0.92681,1,0.98156,0.99483,0.76234,0.84005,2.16961,0.89596,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,681.304,1.07847,1.55307,0.92149,0.99168,0.98305,0.99483,0.77253,0.82045,2.08763,0.8957,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,731.802,0.92384,1.44742,0.92052,0.98992,0.98305,0.99483,0.77205,0.81817,1.97308,0.88988,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,780.469,0.93464,1.37414,0.89981,1,0.99325,0.995,0.76887,0.82071,1.81337,0.89944,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,834.115,0.9486,1.38063,0.89297,1,0.99599,0.995,0.77972,0.83277,1.6553,0.89335,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,884.931,0.92339,1.30349,0.87485,0.9983,1,0.995,0.76891,0.82854,1.53478,0.89246,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,938.645,0.92762,1.24852,0.8977,0.99805,1,0.995,0.78556,0.80902,1.42836,0.88692,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,988.956,0.88677,1.26739,0.88891,0.99731,1,0.995,0.79056,0.80301,1.38339,0.88805,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,1037.18,0.94958,1.22996,0.92087,0.99735,1,0.995,0.78104,0.79735,1.3171,0.87947,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,1085.7,0.90197,1.29352,0.90188,0.99726,1,0.995,0.77523,0.78357,1.31378,0.88368,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,1139.07,0.88334,1.15133,0.88602,0.99734,1,0.995,0.79016,0.77258,1.2254,0.88619,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,1187.01,0.8487,1.16556,0.88721,0.99809,1,0.995,0.79178,0.79508,1.22871,0.88339,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,1234.77,0.86109,1.15757,0.89303,0.99822,1,0.995,0.78757,0.80304,1.20455,0.88194,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,1283.6,0.8819,1.11724,0.89904,0.99808,1,0.995,0.79268,0.80179,1.13875,0.87544,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,1333.61,0.8363,1.11181,0.87895,0.99839,1,0.995,0.79234,0.7953,1.1149,0.87601,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,1380.6,0.85473,1.05958,0.8824,0.99839,1,0.995,0.79309,0.80219,1.07902,0.88171,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,1424.73,0.80423,1.07885,0.88076,0.99834,1,0.995,0.80255,0.80334,1.06379,0.87673,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,1467.51,0.76526,1.02505,0.87162,0.99834,1,0.995,0.77527,0.82835,1.05402,0.88069,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,1510.04,0.80202,0.99671,0.87753,0.99849,1,0.995,0.76273,0.82349,1.06415,0.88269,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,1552.56,0.82068,1.05063,0.87641,0.99816,1,0.995,0.76874,0.83668,1.06848,0.87967,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
